otu_id	phylum	family	genus	s12903	m41	m25	m5	s62162	s62160	s19481	m34	m32	s12438	s401660	s401612	m3	m1	s402150	s401656	s39326	m40	m11	s16001	s62172	s62156	m7	s402124	s62152	s15965	m46	s7857	s401652	m39	s7863	m36	s62174	m45	s62166	s39314	s401632	s15987	s15981	m37	s401654	s62158	m2	s401622	m28	m21	m8	s401964	s401614	s402122	m9	s401954	s19501	m27	s62150	s401996	s19507	s19505	s62164	s402112	s401646	s401618	m6	m14	s138530	s401616	m18	s9450	m4	s12614	s402120	m17	m23	m35	s401620	s401974	m20	s402116	s62120	s39352	s401956	s62168	s9586	s401634	m31	s402006	s19594	s15829	m24	s9466	m44	s15947	m26	s62170	s401978	s12884	m43	s401644	s401972	m22	m29	m13	m33	m38	m15	m10	s7839	s62128	s15827	s15949	m16	s39300	s62154	m12	s402118	s15825	m19	s62134	s401650	s401658	s19509	m42	s12428	s12430	s15997	s19511
41ff0aa01abd9fea772f92befee785f2f421f8fb	Glomeromycota	Gigasporaceae	Scutellospora	0	0	189	35	0	0	0	294	0	225	0	18	0	0	0	292	0	30	0	54	0	0	72	0	55	61	0	0	0	0	0	0	0	0	0	0	0	0	0	91	5	24	0	21	0	0	19	0	22	0	0	0	0	152	11	0	18	0	0	0	6	0	0	0	0	13	0	0	0	91	0	0	0	0	31	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
c52d4dc5d108e786a6cdfd3cb211c04388d8437a	Glomeromycota	Entrophosporaceae	Claroideoglomus	0	0	0	0	0	291	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	112	0	56	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
9f7d733fdaf896100e19fad875ec35c3a0774223	Glomeromycota	Archaeosporaceae	Archaeospora	0	0	0	44	0	290	0	0	0	0	0	0	0	35	0	23	0	0	0	0	0	183	0	25	0	0	0	0	0	0	0	0	123	0	10	0	0	0	0	0	0	57	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6fc2e836e9ce8b0fb149b898850f3ee9420209e1	Glomeromycota	Glomeraceae	Glomus	0	0	0	274	0	0	0	12	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81da931c1488438c9ccee9d8bbc431f9dc3603c3	Glomeromycota	Entrophosporaceae	Claroideoglomus	0	0	0	0	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a2008322c56a80d4b07e29cab7d00f5f71f4ef68	Glomeromycota	Acaulosporaceae	Acaulospora	0	0	257	0	0	0	0	0	94	0	0	0	50	0	35	0	0	0	0	0	0	0	26	0	48	0	0	0	0	0	0	0	0	0	0	0	0	29	56	0	0	0	0	0	0	31	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	36	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0955a790f5c117f75229a21ec5aabea7f6f02728	Glomeromycota	Paraglomeraceae	Paraglomus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2070f3a88ddc7035e788379f90ade45c65ec4dd8	Glomeromycota	Glomeraceae	Glomus	0	0	252	0	0	0	0	33	0	0	0	0	0	6	0	0	0	0	0	84	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11b75378c3bd102a8b2d00beabdc5c94fb085b1d	Glomeromycota	Entrophosporaceae	Claroideoglomus	0	0	0	0	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	204	0	0	0	148	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23f48af3230029159247bd7440182dd199377822	Glomeromycota	Glomeraceae	Septoglomus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	13	243	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
